Comarca;Understand;Can speak;Can read;Can write;Does not understand;Population
Alt Camp;42677;36667;37514;28027;971;43648
Alt Empordà;127128;97018;103691;74454;8014;135142
Alt Penedès;98905;83190;85661;64215;3012;101916
Alt Urgell;20245;17547;18286;13328;360;20605
Alta Ribagorça;3997;3248;3377;2418;..;4032
Anoia;111147;90395;94676;69379;4316;115462
Bages;173062;146726;151829;114435;5949;179012
Baix Camp;176508;139197;147335;108874;9623;186131
Baix Ebre;77044;64438;64923;45543;2568;79612
Baix Empordà;121682;97255;101989;75972;7089;128771
Baix Llobregat;730102;526488;583523;402912;44446;774549
Baix Penedès;91734;68163;74789;51568;5706;97440
Barcelonès;2058268;1487946;1653636;1092694;129239;2187508
Berguedà;39162;35326;35520;27125;656;39818
Cerdanya;17780;14488;15162;11369;502;18281
Conca de Barberà;20030;17624;17913;14020;410;20440
Garraf;134184;104014;112854;79752;6989;141174
Garrigues;19128;16779;17063;12472;543;19671
Garrotxa;51676;45137;45573;34735;1966;53642
Gironès;167810;141119;145905;115264;8645;176456
Maresme;404957;326496;344353;252721;15116;420074
Montsià;67547;54647;56357;36302;1773;69320
Noguera;37555;31766;32248;23548;1208;38764
Osona;144623;126351;127992;103804;4607;149229
Pallars Jussà;12680;11028;11052;8246;403;13083
Pallars Sobirà;7056;6255;6283;4699;79;7134
Pla d'Urgell;35088;29963;30552;23031;1067;36156
Pla de l'Estany;29861;26272;26621;21279;272;30133
Priorat;9532;8619;8626;6598;181;9713
Ribera d'Ebre;21852;19060;18807;13229;974;22826
Ripollès;24970;21990;22481;16736;384;25355
Segarra;21009;16973;17647;13379;1532;22541
Segrià;191174;155291;161693;117610;9527;200702
Selva;157435;122721;129858;95781;8951;166386
Solsonès;12730;11465;11629;9260;552;13282
Tarragonès;230102;170457;189786;130007;13491;243593
Terra Alta;12186;11031;10788;7051;108;12294
Urgell;34834;29772;30182;23321;1008;35842
Val d'Aran;8719;6138;7105;4562;932;9651
Vallès Occidental;829289;632851;684152;493101;38334;867623
Vallès Oriental;373874;293573;310919;226398;15189;389063
Catalunya;6949344;5345484;5750348;4069219;356728;7306072
Metropolità;4396490;3267354;3576583;2467826;242325;4638815
Comarques Gironines;680563;551512;576117;434221;35321;715884
Camp de Tarragona;478849;372565;401174;287527;24676;503525
Terres de l'Ebre;178629;149177;150874;102126;5423;184052
Ponent;338790;280544;289386;213361;14885;353675
Comarques Centrals;369577;319868;326970;254624;11764;381342
Alt Pirineu i Aran;70476;58703;61264;44621;2312;72788
Penedès;435970;345761;367979;264913;20022;455992
Barcelona;5097395;3852980;4184851;2926178;267892;5365286
Girona;694660;562826;587975;443144;35701;730362
Lleida;408077;339773;350685;258675;17331;425408
Tarragona;749212;589905;626837;441220;35805;785016
