Districts;Population of 2 year or more ;Don't understand;Understand;Can read it;Can speak it;Can speak and read;Can speak, read and write
Barcelona;1554850;105173;261923;54639;89390;169005;874719
Ciutat vella;108700;14122;29707;2442;7732;8766;45930
Eixample;253244;;37591;;;30985;161531
Sants-Montjuic;174263;16695;43540;;10240;17252;84481
Les Corts;80332;;11283;;4853;6674;51875
Sárria-Sant Gervasi;137223;;11237;;6912;16703;87126
Grácia;115998;;9608;;6269;18244;76437
Horta-guinardó;166625;;23219;;7598;15065;109471
Nou Barris;159605;14885;26611;13817;10144;18534;75615
Sant Andreu;139945;9289;21620;;14033;17917;70527
Sant Marti;218915;15470;47507;11342;14005;18865;111726
